transaction_id,amfi_code,investor_id,transaction_type,amount,transaction_date,kyc_status
TXN593361,100066,INV2599,Lumpsum,77466.76,2023-04-02,Verified
TXN470011,100041,INV6852,SIP,76558.48,2023-02-18,Unknown
TXN419115,100053,INV2540,Redemption,62273.98,2023-07-17,Unknown
TXN427853,100032,INV9936,SIP,59236.55,2023-05-10,Rejected
TXN899157,100088,INV7364,SIP,22297.43,2023-08-29,Unknown
TXN954653,100055,INV1641,Redemption,24956.66,2023-09-16,Unknown
TXN796841,100065,INV3526,SIP,48529.46,2023-11-27,Verified
TXN899398,100042,INV7085,Lumpsum,8636.91,2023-05-06,Verified
TXN235938,100067,INV8523,SIP,57759.58,2023-07-11,Unknown
TXN500839,100057,INV6249,SIP,98026.22,2023-07-22,Pending
TXN869624,100082,INV9075,Lumpsum,38158.43,2023-05-20,Pending
TXN397087,100057,INV1823,SIP,50038.21,2023-01-02,Unknown
TXN835620,100052,INV6055,Redemption,86829.05,2023-12-07,Pending
TXN262548,100043,INV4587,Redemption,53574.55,2023-09-18,Verified
TXN636721,100031,INV7148,SIP,61934.92,2023-07-26,Pending
TXN291402,100088,INV5553,Lumpsum,50119.82,2023-02-17,Verified
TXN478294,100066,INV4809,SIP,60257.33,2023-09-15,Verified
TXN472397,100031,INV4124,Lumpsum,87563.97,2023-08-29,Verified
TXN534671,100081,INV8750,Redemption,89922.09,2023-11-26,Unknown
TXN382914,100063,INV1312,SIP,66081.63,2023-02-20,Pending
TXN660564,100058,INV1513,Redemption,16345.41,2023-06-24,Rejected
TXN894264,100078,INV2022,SIP,5674.29,2023-12-31,Verified
TXN339144,100084,INV6775,Lumpsum,29378.12,2023-01-11,Verified
TXN135516,100035,INV1852,Redemption,6817.04,2023-12-02,Pending
TXN860198,100064,INV5139,Redemption,99617.24,2023-06-25,Rejected
TXN340228,100088,INV5219,Redemption,4731.59,2023-07-11,Unknown
TXN476048,100068,INV3923,SIP,72964.53,2023-06-08,Unknown
TXN539435,100051,INV8917,Lumpsum,92841.92,2023-11-25,Rejected
TXN336524,100058,INV5551,Redemption,92511.09,2023-03-29,Unknown
TXN688481,100057,INV8814,Lumpsum,29178.0,2023-03-30,Pending
TXN262996,100055,INV7921,SIP,74895.35,2023-07-16,Rejected
TXN185734,100060,INV6657,Redemption,44027.0,2023-08-08,Unknown
TXN861135,100079,INV7516,Redemption,16963.65,2023-10-04,Pending
TXN643698,100027,INV5377,SIP,6187.26,2023-10-18,Verified
TXN421248,100051,INV5043,Redemption,53023.32,2023-10-06,Unknown
TXN885113,100058,INV8317,SIP,23300.99,2023-01-10,Pending
TXN391822,100032,INV3278,Redemption,27314.07,2023-01-07,Rejected
TXN142057,100036,INV5240,Redemption,2462.69,2023-01-08,Rejected
TXN425853,100034,INV2614,Redemption,62632.01,2023-06-18,Pending
TXN327733,100078,INV9271,Lumpsum,3662.39,2023-07-16,Pending
TXN314185,100047,INV8769,Redemption,89576.21,2023-02-16,Pending
TXN855302,100055,INV1793,SIP,37554.11,2023-05-12,Pending
TXN299361,100062,INV3445,Lumpsum,68787.6,2023-04-20,Rejected
TXN743268,100029,INV3356,SIP,79228.61,2023-09-01,Rejected
TXN401100,100054,INV4765,Redemption,98809.22,2023-07-12,Rejected
TXN208595,100065,INV5847,Lumpsum,50776.23,2023-03-30,Verified
TXN315239,100063,INV6524,Lumpsum,37604.08,2023-12-21,Verified
TXN204105,100047,INV8053,SIP,76463.24,2023-10-13,Rejected
TXN223894,100036,INV5158,SIP,5436.53,2023-07-18,Rejected
TXN725267,100030,INV6460,Redemption,64978.07,2023-08-20,Verified
TXN450772,100032,INV1407,Lumpsum,91201.36,2023-01-30,Verified
TXN558926,100032,INV7338,Lumpsum,93961.92,2023-09-18,Rejected
TXN363691,100086,INV4431,Redemption,82125.36,2023-05-23,Rejected
TXN267993,100033,INV4958,SIP,99286.34,2023-04-26,Unknown
TXN163860,100059,INV2294,Redemption,83577.54,2023-09-23,Pending
TXN165045,100079,INV8350,SIP,40064.47,2023-09-12,Unknown
TXN657544,100042,INV3128,Lumpsum,85344.5,2023-11-17,Pending
TXN280168,100086,INV1206,SIP,99884.25,2023-02-02,Rejected
TXN255846,100067,INV5629,Lumpsum,7430.31,2023-05-21,Pending
TXN596457,100042,INV5097,Redemption,84291.1,2023-06-11,Pending
TXN482811,100060,INV4307,Redemption,25759.98,2023-07-07,Unknown
TXN605348,100062,INV6486,Redemption,77600.97,2023-07-23,Unknown
TXN993192,100079,INV4064,Lumpsum,52950.04,2023-08-20,Unknown
TXN372401,100051,INV8744,SIP,69474.57,2023-09-30,Verified
TXN926062,100068,INV4059,Redemption,63107.79,2023-09-03,Unknown
TXN300002,100029,INV9947,Lumpsum,93738.9,2023-10-14,Pending
TXN914395,100065,INV4465,Redemption,75564.54,2023-08-21,Pending
TXN821411,100088,INV6613,SIP,48987.85,2023-07-06,Pending
TXN725618,100057,INV9558,Lumpsum,64585.73,2023-06-23,Rejected
TXN833684,100059,INV5524,Lumpsum,10990.78,2023-01-30,Pending
TXN551649,100058,INV4888,Redemption,82694.12,2023-07-21,Rejected
TXN701701,100079,INV8717,SIP,42194.15,2023-02-28,Verified
TXN616343,100058,INV6978,SIP,27148.28,2023-05-03,Rejected
TXN837297,100068,INV5810,Redemption,32598.34,2023-01-25,Verified
TXN524016,100086,INV6225,SIP,18807.96,2023-09-04,Unknown
TXN680799,100060,INV3631,Redemption,89993.51,2023-07-08,Verified
TXN167748,100051,INV9316,Lumpsum,13850.17,2023-04-09,Pending
TXN173227,100051,INV3832,Lumpsum,50061.36,2023-09-15,Unknown
TXN590638,100053,INV5549,Lumpsum,39107.51,2023-12-07,Unknown
TXN306089,100066,INV8612,Lumpsum,49127.5,2023-06-24,Verified
TXN866622,100064,INV6833,SIP,9931.24,2023-09-16,Verified
TXN204988,100062,INV7977,Redemption,4744.62,2023-12-11,Pending
TXN415178,100043,INV6082,SIP,52901.72,2023-02-09,Verified
TXN921078,100067,INV1285,SIP,38744.11,2023-11-04,Unknown
TXN542099,100082,INV7912,Redemption,93408.86,2023-10-13,Pending
TXN770838,100085,INV6763,Lumpsum,70989.75,2023-11-21,Unknown
TXN942926,100060,INV3455,Lumpsum,75054.34,2023-07-25,Verified
TXN871292,100064,INV8870,Lumpsum,42243.18,2023-09-14,Rejected
TXN527317,100048,INV2584,Lumpsum,68264.22,2023-08-28,Unknown
TXN170250,100047,INV6690,Redemption,11058.27,2023-02-09,Verified
TXN416209,100051,INV7021,Lumpsum,98891.85,2023-09-14,Pending
TXN123244,100035,INV7375,Redemption,29751.75,2023-12-07,Verified
TXN323982,100054,INV9242,Lumpsum,15783.07,2023-06-22,Pending
TXN220503,100054,INV1904,Redemption,40298.53,2023-06-14,Unknown
TXN636638,100078,INV8305,Redemption,23255.24,2023-07-20,Unknown
TXN719221,100043,INV8167,Redemption,85386.5,2023-12-24,Rejected
TXN131055,100053,INV8665,Lumpsum,60212.61,2023-07-02,Rejected
TXN311899,100066,INV3909,Lumpsum,71554.08,2023-07-06,Unknown
TXN279859,100047,INV2976,SIP,77026.63,2023-01-13,Verified
TXN900408,100088,INV3302,Lumpsum,46879.66,2023-08-18,Verified
TXN489147,100049,INV3620,SIP,13039.08,2023-02-28,Verified
TXN937000,100067,INV8505,Lumpsum,54597.9,2023-12-21,Rejected
TXN669457,100037,INV8970,Redemption,44451.1,2023-04-26,Unknown
TXN256000,100052,INV8325,Redemption,6318.98,2023-01-11,Pending
TXN907686,100061,INV1685,Redemption,78995.68,2023-03-05,Verified
TXN550023,100057,INV2008,Lumpsum,65229.58,2023-09-15,Pending
TXN730594,100041,INV6161,Redemption,53795.05,2023-11-08,Rejected
TXN273780,100053,INV4919,Lumpsum,25693.43,2023-09-23,Rejected
TXN298868,100036,INV9565,Lumpsum,7978.62,2023-12-02,Unknown
TXN522172,100057,INV5547,Redemption,34588.17,2023-11-17,Rejected
TXN871338,100035,INV8534,Redemption,88380.46,2023-12-20,Unknown
TXN563108,100052,INV3096,Redemption,48226.81,2023-12-15,Rejected
TXN738656,100030,INV1653,Redemption,76753.57,2023-01-06,Verified
TXN517581,100061,INV7041,Redemption,21080.29,2023-02-24,Pending
TXN835172,100068,INV7987,Redemption,87022.77,2023-12-16,Unknown
TXN936640,100031,INV3742,Lumpsum,62075.35,2023-05-11,Pending
TXN105563,100059,INV4134,SIP,48435.61,2023-02-24,Rejected
TXN737750,100088,INV5181,Lumpsum,32625.58,2023-12-28,Verified
TXN909836,100033,INV1380,Redemption,48513.54,2023-07-29,Pending
TXN407903,100063,INV2122,SIP,58197.43,2023-07-06,Pending
TXN153545,100032,INV5116,Redemption,64555.74,2023-07-11,Rejected
TXN757937,100086,INV5757,Redemption,34305.13,2023-08-24,Rejected
TXN960796,100067,INV8261,SIP,27716.4,2023-02-05,Rejected
TXN473860,100033,INV3336,Redemption,20151.82,2023-06-18,Verified
TXN842225,100029,INV2712,Redemption,1512.88,2023-10-09,Rejected
TXN928036,100043,INV9870,SIP,70876.87,2023-12-10,Rejected
TXN490457,100085,INV9646,Redemption,25033.85,2023-07-15,Rejected
TXN933012,100038,INV9824,Redemption,93166.9,2023-06-22,Unknown
TXN423954,100034,INV3232,SIP,50488.59,2023-02-07,Unknown
TXN478241,100066,INV3052,SIP,78062.79,2023-05-22,Verified
TXN940041,100065,INV8791,Lumpsum,89169.3,2023-09-01,Rejected
TXN457410,100079,INV3003,Lumpsum,51169.21,2023-03-12,Pending
TXN728623,100027,INV1506,Redemption,64132.98,2023-01-21,Unknown
TXN521105,100055,INV4711,SIP,66409.1,2023-11-29,Pending
TXN425539,100047,INV5912,Redemption,46300.29,2023-01-08,Unknown
TXN807433,100080,INV4077,Lumpsum,10200.0,2023-12-06,Rejected
TXN245492,100041,INV9463,Redemption,78411.79,2023-05-08,Unknown
TXN938381,100080,INV7242,SIP,20091.87,2023-10-23,Pending
TXN202984,100035,INV1454,Lumpsum,59198.38,2023-09-18,Pending
TXN966879,100088,INV7263,Redemption,88913.78,2023-08-11,Unknown
TXN459891,100064,INV4354,Lumpsum,17757.56,2023-11-03,Rejected
TXN825259,100079,INV3552,Lumpsum,31385.96,2023-03-31,Unknown
TXN707197,100084,INV5183,SIP,25046.75,2023-03-21,Rejected
TXN588419,100046,INV8113,Redemption,48042.68,2023-04-29,Unknown
TXN357851,100078,INV4192,Lumpsum,68377.74,2023-10-24,Rejected
TXN551954,100084,INV6751,Redemption,57416.78,2023-10-28,Unknown
TXN328674,100053,INV4840,Redemption,36729.37,2023-08-29,Verified
TXN225567,100062,INV6560,Redemption,98791.51,2023-05-06,Unknown
TXN319936,100077,INV8503,Lumpsum,1688.78,2023-10-30,Rejected
TXN450675,100036,INV4657,Lumpsum,99100.13,2023-04-05,Unknown
TXN866111,100048,INV1105,SIP,41512.62,2023-04-30,Verified
TXN653591,100065,INV9784,Lumpsum,95364.99,2023-01-28,Pending
TXN365026,100047,INV7606,Redemption,25826.04,2023-01-01,Pending
TXN356705,100043,INV4695,SIP,30456.6,2023-08-28,Rejected
TXN947681,100064,INV6727,Redemption,66584.25,2023-06-07,Rejected
TXN642993,100053,INV1902,Lumpsum,75725.08,2023-11-19,Pending
TXN561402,100058,INV3990,Lumpsum,42123.64,2023-04-11,Rejected
TXN783103,100042,INV2241,Redemption,93179.46,2023-01-01,Rejected
TXN664316,100086,INV7856,Lumpsum,94005.83,2023-05-09,Verified
TXN583843,100064,INV4839,SIP,3995.32,2023-07-27,Rejected
TXN872031,100080,INV2237,Redemption,8746.83,2023-03-17,Rejected
TXN270540,100046,INV3573,Lumpsum,99837.82,2023-08-26,Unknown
TXN935971,100088,INV2072,Redemption,8874.37,2023-08-25,Pending
TXN443526,100069,INV8547,SIP,98072.39,2023-05-30,Unknown
TXN491050,100088,INV1068,Lumpsum,10320.65,2023-12-03,Rejected
TXN819264,100042,INV2711,Lumpsum,156.8,2023-07-07,Rejected
TXN903411,100066,INV5179,Lumpsum,71855.7,2023-03-29,Unknown
TXN410116,100034,INV7246,Lumpsum,66615.65,2023-05-16,Rejected
TXN108001,100027,INV1183,SIP,33888.89,2023-08-22,Pending
TXN849840,100032,INV2167,Redemption,20067.76,2023-08-10,Pending
TXN910981,100048,INV3135,SIP,55361.57,2023-08-20,Pending
TXN806649,100037,INV2304,Redemption,70585.6,2023-05-21,Verified
TXN251852,100053,INV4485,SIP,7911.88,2023-11-28,Unknown
TXN514884,100042,INV1695,Redemption,69727.81,2023-02-20,Verified
TXN929806,100084,INV1266,SIP,38341.02,2023-07-09,Pending
TXN869625,100036,INV8411,Redemption,74145.05,2023-06-29,Pending
TXN969572,100078,INV2240,Lumpsum,43299.29,2023-08-22,Pending
TXN736664,100047,INV3005,SIP,23562.15,2023-05-01,Unknown
TXN410775,100064,INV2335,SIP,14255.39,2023-11-13,Rejected
TXN736864,100056,INV6084,SIP,6774.07,2023-07-04,Rejected
TXN345351,100043,INV7204,SIP,56874.36,2023-06-21,Rejected
TXN399426,100053,INV8472,Redemption,97615.98,2023-08-27,Verified
TXN396177,100085,INV3321,Redemption,43805.01,2023-02-24,Verified
TXN102984,100063,INV3135,SIP,47738.98,2023-05-14,Pending
TXN761094,100044,INV1070,Lumpsum,5376.91,2023-07-15,Pending
TXN336102,100033,INV8439,Lumpsum,22866.73,2023-12-13,Unknown
TXN822974,100041,INV8544,Redemption,18758.67,2023-06-13,Unknown
TXN760046,100027,INV5730,Redemption,69512.01,2023-04-18,Verified
TXN432856,100064,INV6188,SIP,16240.92,2023-12-15,Rejected
TXN896746,100087,INV9279,SIP,20704.45,2023-08-18,Unknown
TXN808730,100069,INV6396,SIP,83290.96,2023-08-01,Rejected
TXN394150,100088,INV1347,SIP,64558.8,2023-10-15,Unknown
TXN311790,100053,INV3541,Redemption,97395.48,2023-10-30,Verified
TXN250742,100031,INV8289,SIP,89621.48,2023-05-01,Rejected
TXN428613,100081,INV6683,Lumpsum,38007.81,2023-04-03,Rejected
TXN482586,100086,INV9647,Lumpsum,6782.4,2023-02-11,Pending
TXN723544,100041,INV8491,Redemption,67133.95,2023-10-22,Verified
TXN816433,100079,INV2379,SIP,99053.54,2023-07-15,Unknown
TXN247548,100028,INV2332,Redemption,81590.82,2023-11-08,Verified
TXN614936,100047,INV5661,Lumpsum,67849.11,2023-07-14,Verified
TXN685232,100056,INV4519,SIP,91516.67,2023-09-27,Pending
TXN626564,100049,INV9073,Lumpsum,15822.71,2023-11-15,Pending
TXN676183,100085,INV5912,SIP,43755.14,2023-08-16,Unknown
TXN439640,100060,INV1235,Lumpsum,1067.18,2023-11-03,Pending
TXN158577,100087,INV9213,Redemption,14470.25,2023-08-08,Pending
TXN565337,100042,INV1846,Redemption,95178.0,2023-11-16,Verified
TXN232765,100069,INV1285,Redemption,72287.9,2023-12-30,Rejected
TXN449412,100031,INV4200,Redemption,56851.44,2023-06-16,Rejected
TXN744433,100055,INV8471,Lumpsum,47440.19,2023-12-27,Pending
TXN693052,100063,INV2605,Redemption,49743.25,2023-10-10,Pending
TXN742573,100081,INV5896,SIP,97228.73,2023-05-18,Pending
TXN275732,100080,INV6119,Redemption,23348.86,2023-12-17,Unknown
TXN201860,100051,INV4585,SIP,86194.58,2023-11-15,Verified
TXN233255,100085,INV3800,SIP,77038.99,2023-06-11,Unknown
TXN545104,100032,INV1542,Lumpsum,18871.63,2023-11-01,Unknown
TXN547152,100031,INV5287,Redemption,6672.84,2023-12-26,Unknown
TXN158480,100047,INV7973,Lumpsum,1408.19,2023-12-19,Pending
TXN672910,100067,INV1550,SIP,90627.6,2023-12-14,Verified
TXN679800,100041,INV2178,Lumpsum,34346.39,2023-02-10,Verified
TXN206580,100033,INV7467,Redemption,32836.76,2023-08-18,Rejected
TXN553124,100062,INV7549,Redemption,56308.92,2023-10-14,Verified
TXN853929,100036,INV9666,Lumpsum,40588.48,2023-08-16,Pending
TXN625461,100037,INV8930,Redemption,81442.09,2023-04-29,Verified
TXN907627,100087,INV9368,Lumpsum,5676.93,2023-12-20,Unknown
TXN890987,100086,INV7277,Redemption,55927.61,2023-01-01,Pending
TXN690288,100068,INV4256,Lumpsum,56713.42,2023-03-30,Verified
TXN192570,100031,INV5182,Redemption,62869.39,2023-11-05,Unknown
TXN266407,100055,INV3580,SIP,35955.33,2023-03-10,Verified
TXN692889,100034,INV5705,Lumpsum,74903.11,2023-01-21,Rejected
TXN255033,100055,INV1772,Redemption,16194.63,2023-08-24,Unknown
TXN715062,100033,INV9980,SIP,70508.0,2023-09-21,Pending
TXN429360,100051,INV1699,Lumpsum,54923.56,2023-03-08,Pending
TXN971994,100064,INV1190,Redemption,4198.15,2023-12-28,Verified
TXN425491,100048,INV5415,Lumpsum,65439.89,2023-08-26,Verified
TXN473861,100056,INV1406,Redemption,88615.05,2023-12-10,Verified
TXN385039,100079,INV6856,SIP,63813.75,2023-11-24,Verified
TXN863495,100067,INV1087,Redemption,60451.44,2023-08-08,Rejected
TXN597167,100046,INV3563,Lumpsum,93151.36,2023-08-29,Unknown
TXN274790,100043,INV5244,Lumpsum,96207.32,2023-02-08,Verified
TXN357207,100081,INV2155,Redemption,82233.6,2023-05-21,Verified
TXN252198,100069,INV5373,Redemption,53670.69,2023-05-12,Verified
TXN871141,100059,INV3551,SIP,44319.21,2023-04-27,Unknown
TXN358754,100030,INV8974,Redemption,2492.55,2023-05-21,Verified
TXN779975,100049,INV3921,Redemption,51077.26,2023-02-09,Unknown
TXN702741,100055,INV3074,SIP,93569.65,2023-12-04,Rejected
TXN655229,100033,INV2291,Lumpsum,25046.89,2023-08-23,Rejected
TXN389137,100064,INV4294,SIP,73778.57,2023-04-06,Verified
TXN339924,100066,INV7780,Lumpsum,376.11,2023-05-28,Verified
TXN543076,100048,INV4492,Redemption,34782.73,2023-11-17,Pending
TXN783783,100065,INV1912,Lumpsum,34188.64,2023-10-07,Verified
TXN820859,100047,INV7921,Redemption,57783.58,2023-01-04,Verified
TXN403901,100035,INV7656,Lumpsum,55399.21,2023-02-20,Pending
TXN654092,100044,INV8602,Redemption,91599.7,2023-01-25,Verified
TXN864735,100042,INV1975,SIP,28703.71,2023-10-09,Verified
TXN189857,100064,INV9660,Lumpsum,88108.8,2023-01-14,Rejected
TXN585623,100079,INV5701,SIP,19808.41,2023-07-18,Unknown
TXN865396,100066,INV6284,Redemption,64523.74,2023-07-19,Pending
TXN512999,100034,INV4083,Redemption,28499.18,2023-02-15,Rejected
TXN600901,100069,INV3312,SIP,88450.45,2023-10-07,Pending
TXN679829,100084,INV6294,Redemption,60416.5,2023-01-14,Verified
TXN120004,100027,INV6795,SIP,61244.95,2023-06-24,Unknown
TXN423314,100065,INV8446,Redemption,42193.44,2023-12-09,Verified
TXN570511,100041,INV9345,SIP,66367.09,2023-10-23,Unknown
TXN249638,100031,INV4031,SIP,58494.82,2023-08-03,Rejected
TXN501267,100086,INV9703,Lumpsum,20227.21,2023-09-08,Verified
TXN897724,100077,INV3024,SIP,9572.68,2023-10-28,Unknown
TXN924165,100079,INV6086,SIP,18780.61,2023-07-19,Rejected
TXN308989,100060,INV7422,SIP,30524.32,2023-01-08,Pending
TXN165351,100032,INV9496,Redemption,83486.74,2023-01-19,Rejected
TXN911519,100030,INV7188,Lumpsum,74748.69,2023-07-14,Pending
TXN326734,100052,INV7932,SIP,28937.76,2023-06-29,Rejected
TXN996132,100079,INV5031,SIP,64836.57,2023-07-18,Pending
TXN749094,100061,INV9825,Lumpsum,65330.89,2023-09-22,Unknown
TXN609655,100068,INV1533,Lumpsum,16704.18,2023-02-23,Pending
TXN664581,100080,INV9349,Redemption,50537.44,2023-07-19,Unknown
TXN512146,100035,INV1769,Lumpsum,34831.66,2023-02-13,Verified
TXN196657,100087,INV9618,Lumpsum,82292.38,2023-04-05,Pending
TXN907825,100084,INV3693,SIP,6811.7,2023-08-13,Pending
TXN447768,100066,INV7284,Redemption,44444.77,2023-02-07,Pending
TXN413320,100043,INV7169,SIP,69311.96,2023-01-12,Pending
TXN688435,100044,INV9075,Redemption,67813.54,2023-08-26,Rejected
TXN462841,100080,INV8237,Lumpsum,89753.85,2023-01-31,Unknown
TXN476232,100029,INV7262,SIP,78868.39,2023-06-03,Unknown
TXN205939,100067,INV7048,SIP,33829.99,2023-09-04,Rejected
