transaction_id,amfi_code,investor_id,transaction_type,amount,transaction_date,kyc_status,state
TXN605348,100062,INV6486,Red,77600.97,23/07/2023,,Maharashtra
TXN993192,100079,INV4064,LUMP,52950.04,20/08/2023,,Delhi
TXN372401,100051,INV8744,SIP,69474.57,30/09/2023,Verified,Delhi
TXN926062,100068,INV4059,Redemption,63107.79,03/09/2023,,Karnataka
TXN300002,100029,INV9947,Lumpsum,93738.9,14/10/2023,Pending,Karnataka
TXN914395,100065,INV4465,Red,75564.54,21/08/2023,Pending,Maharashtra
TXN821411,100088,INV6613,SIP,48987.85,06/07/2023,Pending,Karnataka
TXN725618,100057,INV9558,LUMP,64585.73,23/06/2023,Rejected,Gujarat
TXN272917,100087,INV4788,LUMP,-4162.02,07/12/2023,Pending,Maharashtra
TXN833684,100059,INV5524,LUMP,10990.78,30/01/2023,Pending,Delhi
TXN551649,100058,INV4888,Redemption,82694.12,21/07/2023,Rejected,Gujarat
TXN701701,100079,INV8717,sip,42194.15,28/02/2023,Verified,Karnataka
TXN616343,100058,INV6978,sip,27148.28,03/05/2023,Rejected,Gujarat
TXN837297,100068,INV5810,Red,32598.34,25/01/2023,Verified,Maharashtra
TXN524016,100086,INV6225,sip,18807.96,04/09/2023,,Karnataka
TXN680799,100060,INV3631,Red,89993.51,08/07/2023,Verified,Delhi
TXN167748,100051,INV9316,LUMP,13850.17,09/04/2023,Pending,Tamil Nadu
TXN173227,100051,INV3832,Lumpsum,50061.36,15/09/2023,,Maharashtra
TXN590638,100053,INV5549,LUMP,39107.51,07/12/2023,,Delhi
TXN306089,100066,INV8612,Lumpsum,49127.5,24/06/2023,Verified,Delhi
TXN866622,100064,INV6833,SIP,9931.24,16/09/2023,Verified,Tamil Nadu
TXN204988,100062,INV7977,Redemption,4744.62,11/12/2023,Pending,Delhi
TXN415178,100043,INV6082,sip,52901.72,09/02/2023,Verified,Tamil Nadu
TXN921078,100067,INV1285,sip,38744.11,04/11/2023,,Delhi
TXN542099,100082,INV7912,Redemption,93408.86,13/10/2023,Pending,Delhi
TXN770838,100085,INV6763,Lumpsum,70989.75,21/11/2023,,Tamil Nadu
TXN942926,100060,INV3455,Lumpsum,75054.34,25/07/2023,Verified,Tamil Nadu
TXN871292,100064,INV8870,Lumpsum,42243.18,14/09/2023,Rejected,Delhi
TXN527317,100048,INV2584,LUMP,68264.22,28/08/2023,,Delhi
TXN170250,100047,INV6690,Redemption,11058.27,09/02/2023,Verified,Gujarat
TXN416209,100051,INV7021,LUMP,98891.85,14/09/2023,Pending,Tamil Nadu
TXN123244,100035,INV7375,Redemption,29751.75,07/12/2023,Verified,Maharashtra
TXN323982,100054,INV9242,LUMP,15783.07,22/06/2023,Pending,Karnataka
TXN220503,100054,INV1904,Redemption,40298.53,14/06/2023,,Tamil Nadu
TXN636638,100078,INV8305,Redemption,23255.24,20/07/2023,,Delhi
TXN719221,100043,INV8167,Redemption,85386.5,24/12/2023,Rejected,Gujarat
TXN131055,100053,INV8665,LUMP,60212.61,02/07/2023,Rejected,Tamil Nadu
TXN311899,100066,INV3909,Lumpsum,71554.08,06/07/2023,,Karnataka
TXN279859,100047,INV2976,sip,77026.63,13/01/2023,Verified,Tamil Nadu
TXN900408,100088,INV3302,LUMP,46879.66,18/08/2023,Verified,Karnataka
TXN489147,100049,INV3620,sip,13039.08,28/02/2023,Verified,Tamil Nadu
TXN937000,100067,INV8505,LUMP,54597.9,21/12/2023,Rejected,Karnataka
TXN669457,100037,INV8970,Redemption,44451.1,26/04/2023,,Karnataka
TXN256000,100052,INV8325,Redemption,6318.98,11/01/2023,Pending,Maharashtra
TXN907686,100061,INV1685,Red,78995.68,05/03/2023,Verified,Gujarat
TXN550023,100057,INV2008,LUMP,65229.58,15/09/2023,Pending,Gujarat
TXN730594,100041,INV6161,Red,53795.05,08/11/2023,Rejected,Tamil Nadu
TXN273780,100053,INV4919,LUMP,25693.43,23/09/2023,Rejected,Delhi
TXN298868,100036,INV9565,Lumpsum,7978.62,02/12/2023,,Karnataka
TXN522172,100057,INV5547,Redemption,34588.17,17/11/2023,Rejected,Karnataka
TXN871338,100035,INV8534,Red,88380.46,20/12/2023,,Tamil Nadu
TXN563108,100052,INV3096,Red,48226.81,15/12/2023,Rejected,Tamil Nadu
TXN738656,100030,INV1653,Red,76753.57,06/01/2023,Verified,Karnataka
TXN517581,100061,INV7041,Red,21080.29,24/02/2023,Pending,Tamil Nadu
TXN835172,100068,INV7987,Red,87022.77,16/12/2023,,Maharashtra
TXN936640,100031,INV3742,Lumpsum,62075.35,11/05/2023,Pending,Delhi
TXN105563,100059,INV4134,sip,48435.61,24/02/2023,Rejected,Maharashtra
TXN413855,100068,INV7489,Redemption,-1721.48,12/09/2023,Rejected,Karnataka
TXN737750,100088,INV5181,Lumpsum,32625.58,28/12/2023,Verified,Gujarat
TXN909836,100033,INV1380,Red,48513.54,29/07/2023,Pending,Delhi
TXN407903,100063,INV2122,SIP,58197.43,06/07/2023,Pending,Karnataka
TXN153545,100032,INV5116,Red,64555.74,11/07/2023,Rejected,Delhi
TXN198923,100038,INV2098,Lumpsum,-3624.71,25/03/2023,Rejected,Gujarat
TXN757937,100086,INV5757,Red,34305.13,24/08/2023,Rejected,Delhi
TXN960796,100067,INV8261,SIP,27716.4,05/02/2023,Rejected,Delhi
TXN473860,100033,INV3336,Red,20151.82,18/06/2023,Verified,Delhi
TXN842225,100029,INV2712,Redemption,1512.88,09/10/2023,Rejected,Tamil Nadu
TXN928036,100043,INV9870,SIP,70876.87,10/12/2023,Rejected,Karnataka
TXN490457,100085,INV9646,Redemption,25033.85,15/07/2023,Rejected,Delhi
TXN933012,100038,INV9824,Red,93166.9,22/06/2023,,Gujarat
TXN423954,100034,INV3232,sip,50488.59,07/02/2023,,Delhi
TXN478241,100066,INV3052,SIP,78062.79,22/05/2023,Verified,Gujarat
TXN940041,100065,INV8791,LUMP,89169.3,01/09/2023,Rejected,Gujarat
TXN457410,100079,INV3003,Lumpsum,51169.21,12/03/2023,Pending,Maharashtra
TXN728623,100027,INV1506,Red,64132.98,21/01/2023,,Tamil Nadu
TXN521105,100055,INV4711,sip,66409.1,29/11/2023,Pending,Maharashtra
TXN425539,100047,INV5912,Redemption,46300.29,08/01/2023,,Karnataka
TXN807433,100080,INV4077,LUMP,10200.0,06/12/2023,Rejected,Karnataka
TXN245492,100041,INV9463,Red,78411.79,08/05/2023,,Karnataka
TXN938381,100080,INV7242,SIP,20091.87,23/10/2023,Pending,Tamil Nadu
TXN202984,100035,INV1454,LUMP,59198.38,18/09/2023,Pending,Maharashtra
TXN966879,100088,INV7263,Red,88913.78,11/08/2023,,Tamil Nadu
TXN803721,100037,INV6059,Redemption,-1674.45,31/07/2023,Pending,Delhi
TXN459891,100064,INV4354,Lumpsum,17757.56,03/11/2023,Rejected,Delhi
TXN825259,100079,INV3552,Lumpsum,31385.96,31/03/2023,,Maharashtra
TXN707197,100084,INV5183,SIP,25046.75,21/03/2023,Rejected,Karnataka
TXN588419,100046,INV8113,Redemption,48042.68,29/04/2023,,Gujarat
TXN357851,100078,INV4192,Lumpsum,68377.74,24/10/2023,Rejected,Karnataka
TXN551954,100084,INV6751,Red,57416.78,28/10/2023,,Maharashtra
TXN328674,100053,INV4840,Redemption,36729.37,29/08/2023,Verified,Karnataka
TXN225567,100062,INV6560,Redemption,98791.51,06/05/2023,,Maharashtra
TXN319936,100077,INV8503,Lumpsum,1688.78,30/10/2023,Rejected,Gujarat
TXN450675,100036,INV4657,LUMP,99100.13,05/04/2023,,Delhi
TXN278923,100028,INV8973,LUMP,-2484.08,09/11/2023,Rejected,Delhi
TXN554890,100080,INV5936,Lumpsum,-480.15,24/09/2023,Rejected,Tamil Nadu
TXN866111,100048,INV1105,sip,41512.62,30/04/2023,Verified,Maharashtra
TXN653591,100065,INV9784,LUMP,95364.99,28/01/2023,Pending,Delhi
TXN365026,100047,INV7606,Redemption,25826.04,01/01/2023,Pending,Maharashtra
TXN356705,100043,INV4695,sip,30456.6,28/08/2023,Rejected,Delhi
TXN947681,100064,INV6727,Redemption,66584.25,07/06/2023,Rejected,Delhi
TXN642993,100053,INV1902,LUMP,75725.08,19/11/2023,Pending,Maharashtra
TXN561402,100058,INV3990,LUMP,42123.64,11/04/2023,Rejected,Maharashtra
TXN783103,100042,INV2241,Redemption,93179.46,01/01/2023,Rejected,Maharashtra
TXN664316,100086,INV7856,LUMP,94005.83,09/05/2023,Verified,Maharashtra
TXN583843,100064,INV4839,SIP,3995.32,27/07/2023,Rejected,Delhi
TXN872031,100080,INV2237,Redemption,8746.83,17/03/2023,Rejected,Gujarat
TXN270540,100046,INV3573,Lumpsum,99837.82,26/08/2023,,Delhi
TXN935971,100088,INV2072,Red,8874.37,25/08/2023,Pending,Maharashtra
TXN443526,100069,INV8547,sip,98072.39,30/05/2023,,Tamil Nadu
TXN491050,100088,INV1068,Lumpsum,10320.65,03/12/2023,Rejected,Tamil Nadu
TXN819264,100042,INV2711,Lumpsum,156.8,07/07/2023,Rejected,Tamil Nadu
TXN903411,100066,INV5179,Lumpsum,71855.7,29/03/2023,,Karnataka
TXN410116,100034,INV7246,LUMP,66615.65,16/05/2023,Rejected,Delhi
TXN108001,100027,INV1183,SIP,33888.89,22/08/2023,Pending,Gujarat
TXN849840,100032,INV2167,Redemption,20067.76,10/08/2023,Pending,Delhi
TXN910981,100048,INV3135,SIP,55361.57,20/08/2023,Pending,Tamil Nadu
TXN806649,100037,INV2304,Red,70585.6,21/05/2023,Verified,Maharashtra
TXN251852,100053,INV4485,sip,7911.88,28/11/2023,,Gujarat
TXN514884,100042,INV1695,Redemption,69727.81,20/02/2023,Verified,Tamil Nadu
TXN929806,100084,INV1266,SIP,38341.02,09/07/2023,Pending,Tamil Nadu
TXN869625,100036,INV8411,Red,74145.05,29/06/2023,Pending,Maharashtra
TXN969572,100078,INV2240,LUMP,43299.29,22/08/2023,Pending,Karnataka
TXN736664,100047,INV3005,sip,23562.15,01/05/2023,,Gujarat
TXN410775,100064,INV2335,sip,14255.39,13/11/2023,Rejected,Karnataka
TXN736864,100056,INV6084,sip,6774.07,04/07/2023,Rejected,Karnataka
TXN345351,100043,INV7204,SIP,56874.36,21/06/2023,Rejected,Tamil Nadu
TXN399426,100053,INV8472,Red,97615.98,27/08/2023,Verified,Gujarat
TXN396177,100085,INV3321,Redemption,43805.01,24/02/2023,Verified,Tamil Nadu
TXN102984,100063,INV3135,sip,47738.98,14/05/2023,Pending,Tamil Nadu
TXN761094,100044,INV1070,LUMP,5376.91,15/07/2023,Pending,Gujarat
TXN336102,100033,INV8439,LUMP,22866.73,13/12/2023,,Gujarat
TXN969850,100064,INV7105,SIP,-797.6,07/02/2023,Rejected,Delhi
TXN822974,100041,INV8544,Redemption,18758.67,13/06/2023,,Maharashtra
TXN760046,100027,INV5730,Red,69512.01,18/04/2023,Verified,Karnataka
TXN432856,100064,INV6188,sip,16240.92,15/12/2023,Rejected,Karnataka
TXN896746,100087,INV9279,sip,20704.45,18/08/2023,,Tamil Nadu
TXN808730,100069,INV6396,SIP,83290.96,01/08/2023,Rejected,Karnataka
TXN394150,100088,INV1347,SIP,64558.8,15/10/2023,,Maharashtra
TXN311790,100053,INV3541,Redemption,97395.48,30/10/2023,Verified,Maharashtra
TXN250742,100031,INV8289,sip,89621.48,01/05/2023,Rejected,Gujarat
TXN676069,100057,INV7990,Redemption,-1685.7,02/06/2023,Pending,Delhi
TXN428613,100081,INV6683,LUMP,38007.81,03/04/2023,Rejected,Maharashtra
TXN795413,100049,INV5241,LUMP,-3812.29,27/04/2023,,Maharashtra
TXN482586,100086,INV9647,Lumpsum,6782.4,11/02/2023,Pending,Tamil Nadu
TXN723544,100041,INV8491,Red,67133.95,22/10/2023,Verified,Maharashtra
TXN816433,100079,INV2379,SIP,99053.54,15/07/2023,,Karnataka
TXN247548,100028,INV2332,Redemption,81590.82,08/11/2023,Verified,Gujarat
TXN614936,100047,INV5661,Lumpsum,67849.11,14/07/2023,Verified,Delhi
TXN685232,100056,INV4519,sip,91516.67,27/09/2023,Pending,Maharashtra
TXN626564,100049,INV9073,LUMP,15822.71,15/11/2023,Pending,Tamil Nadu
TXN676183,100085,INV5912,SIP,43755.14,16/08/2023,,Karnataka
TXN439640,100060,INV1235,Lumpsum,1067.18,03/11/2023,Pending,Maharashtra
TXN158577,100087,INV9213,Redemption,14470.25,08/08/2023,Pending,Tamil Nadu
TXN565337,100042,INV1846,Red,95178.0,16/11/2023,Verified,Delhi
TXN232765,100069,INV1285,Redemption,72287.9,30/12/2023,Rejected,Delhi
TXN449412,100031,INV4200,Red,56851.44,16/06/2023,Rejected,Karnataka
TXN744433,100055,INV8471,LUMP,47440.19,27/12/2023,Pending,Delhi
TXN693052,100063,INV2605,Red,49743.25,10/10/2023,Pending,Maharashtra
TXN742573,100081,INV5896,sip,97228.73,18/05/2023,Pending,Maharashtra
TXN275732,100080,INV6119,Redemption,23348.86,17/12/2023,,Gujarat
TXN201860,100051,INV4585,SIP,86194.58,15/11/2023,Verified,Maharashtra
TXN233255,100085,INV3800,SIP,77038.99,11/06/2023,,Gujarat
TXN545104,100032,INV1542,LUMP,18871.63,01/11/2023,,Maharashtra
TXN244418,100069,INV9780,LUMP,-1356.11,14/01/2023,,Tamil Nadu
TXN547152,100031,INV5287,Red,6672.84,26/12/2023,,Gujarat
TXN158480,100047,INV7973,LUMP,1408.19,19/12/2023,Pending,Maharashtra
